OBJECTID,subcatchments_recon_aa_20211027_Id,subcatchments_recon_aa_20211027_Shape_Area,gridcode_float,AREA,PERCENTAGE
472,12,0.000006692986809,34,0.000000257627305,3.849212795617185
473,12,0.000006692986809,35,0.000000159838247,2.388145250892616
474,12,0.000006692986809,36,0.000000181085520,2.705601024220672
475,12,0.000006692986809,37,0.000000136240578,2.035572192721560
476,12,0.000006692986809,38,0.000000079953301,1.194583281737611
477,12,0.000006692986809,39,0.000000074126220,1.107520777574282
478,12,0.000006692986809,40,0.000000097720702,1.460046233192610
479,12,0.000006692986809,41,0.000000088837002,1.327314756944790
480,12,0.000006692986809,42,0.000000041504960,0.620126126303151
481,12,0.000006692986809,43,0.000000035534801,0.530925903240200
482,12,0.000006692986809,44,0.000000017767400,0.265462951995331
483,12,0.000006692986809,45,0.000000017767400,0.265462951304906
484,12,0.000006692986809,46,0.000000008883700,0.132731475527376
485,12,0.000006692986809,47,0.000000017767400,0.265462951745177
486,12,0.000006692986809,49,0.000000017767400,0.265462951495023
487,14,0.000006131842953,3,0.000000008883700,0.144878142571022
488,14,0.000006131842953,4,0.000000026058726,0.424973793043296
489,14,0.000006131842953,5,0.000000002935282,0.047869495195398
490,14,0.000006131842953,6,0.000000044297192,0.722412367446390
491,14,0.000006131842953,7,0.000000026651100,0.434634426675489
492,14,0.000006131842953,8,0.000000045113911,0.735731675975632
493,14,0.000006131842953,9,0.000000077524222,1.264289102477841
494,14,0.000006131842953,10,0.000000048195895,0.785993625836291
495,14,0.000006131842953,11,0.000000035534801,0.579512569115449
496,14,0.000006131842953,12,0.000000111784111,1.823010012857755
497,14,0.000006131842953,13,0.000000089389140,1.457785874454045
498,14,0.000006131842953,14,0.000000179337012,2.924683716323883
499,14,0.000006131842953,15,0.000000192000097,3.131197230036586
500,14,0.000006131842953,16,0.000000229140825,3.736899761104638
501,14,0.000006131842953,17,0.000000173575459,2.830722518680795
502,14,0.000006131842953,18,0.000000125646980,2.049089985618137
503,14,0.000006131842953,19,0.000000167846278,2.737289244343710
504,14,0.000006131842953,20,0.000000128361947,2.093366515061670
505,14,0.000006131842953,21,0.000000088573721,1.444487756836763
506,14,0.000006131842953,22,0.000000097720702,1.593659566260696
507,14,0.000006131842953,23,0.000000133638124,2.179412039797424
508,14,0.000006131842953,24,0.000000207806361,3.388970701717530
509,14,0.000006131842953,25,0.000000196513077,3.204796316740006
510,14,0.000006131842953,26,0.000000293205259,4.781682457891320
511,14,0.000006131842953,27,0.000000330176393,5.384619206467583
512,14,0.000006131842953,28,0.000000256139340,4.177199939074055
513,14,0.000006131842953,29,0.000000313622879,5.114659343186159
514,14,0.000006131842953,30,0.000000225630420,3.679650994124683
515,14,0.000006131842953,31,0.000000297869501,4.857748370480234
516,14,0.000006131842953,32,0.000000355199594,5.792705342690607
517,14,0.000006131842953,33,0.000000288542857,4.705646563419092
518,14,0.000006131842953,34,0.000000286974172,4.680063951464653
519,14,0.000006131842953,35,0.000000184515488,3.009135899996155
