"subcatchment","x","y"
6,21.3088515108274,-157.721781797118
6,21.3085882396256,-157.72206593865
6,21.3083018868724,-157.72215659799
6,21.3080227193288,-157.722254445416
6,21.3073017347392,-157.722426182857
6,21.3068160916532,-157.722876155893
6,21.3066089185873,-157.723196979243
6,21.3057570455377,-157.724135919028
6,21.3056663847596,-157.724987793516
6,21.3055677808445,-157.725174138678
6,21.3056663847596,-157.725455466387
6,21.3057570455377,-157.725836073601
6,21.3059455523031,-157.726373902221
6,21.3058531153575,-157.728324134018
7,21.3063143825189,-157.719390743144
7,21.3053347016175,-157.719472173603
7,21.3051691973025,-157.719514646303
7,21.3048167783014,-157.719757969775
7,21.304769181321,-157.719943440516
7,21.3048119488509,-157.719994926369
7,21.3048657717665,-157.720522979594
7,21.3046371610034,-157.72071287853
7,21.30475567957,-157.721875634863
7,21.3046971034282,-157.722450319322
7,21.3042492301533,-157.723232302689
7,21.3042036610244,-157.724090589358
7,21.3042534383045,-157.724135065461
7,21.3043477333948,-157.72484008971
7,21.3046304518356,-157.725360359437
7,21.3047194040409,-157.725742674505
7,21.3048963103458,-157.726235708822
7,21.3048053317272,-157.7277621319
7,21.304625150658,-157.728093707178
7,21.3045806745554,-157.728520498348
7,21.3048317714579,-157.728552161594
7,21.3050836047149,-157.728677341868
7,21.305617461766,-157.728709005114
7,21.3058531153575,-157.728324134018
7,21.3059455523031,-157.726373902221
7,21.3057570455377,-157.725836073601
7,21.3056663847596,-157.725455466387
7,21.3055677808445,-157.725174138678
7,21.3056663847596,-157.724987793516
7,21.3057570455377,-157.724135919028
7,21.3066089185873,-157.723196979243
7,21.3068160916532,-157.722876155893
7,21.3073017347392,-157.722426182857
7,21.3080227193288,-157.722254445416
7,21.3083018868724,-157.72215659799
7,21.3085882396256,-157.72206593865
7,21.3088515108274,-157.721781797118
7,21.3092480133049,-157.721594671736
7,21.3096525998623,-157.721316267154
7,21.3107071444354,-157.721262987875
7,21.3106635226191,-157.721212356309
7,21.3103737527206,-157.721030859293
7,21.3101377640302,-157.720654088817
7,21.3095732763558,-157.720551119988
7,21.3091345140303,-157.72004184668
7,21.3085899481982,-157.71989280895
7,21.3066706918311,-157.719804311933
9,21.3028841136656,-157.724090589358
9,21.3029296885472,-157.7244913532
9,21.3031350983891,-157.724788859855
9,21.3036855982033,-157.724555701527
9,21.3037323941106,-157.724373349507
9,21.3037007308646,-157.72431075937
9,21.3035129604537,-157.724215769632
9,21.303354644225,-157.723902818947
9,21.3031668738138,-157.72380782921
9,21.3031668738138,-157.723996335975
9,21.3028841136656,-157.723996335975
10,21.3031668738138,-157.72380782921
10,21.303354644225,-157.723902818947
10,21.3035129604537,-157.724215769632
10,21.3037007308646,-157.72431075937
10,21.3037323941106,-157.724373349507
10,21.3039766581604,-157.724240599306
10,21.3042036610244,-157.724090589358
10,21.3042492301533,-157.723232302689
10,21.3046971034282,-157.722450319322
10,21.30475567957,-157.721875634863
10,21.3046371610034,-157.72071287853
10,21.3048657717665,-157.720522979594
10,21.3048119488509,-157.719994926369
10,21.304769181321,-157.719943440516
10,21.3039525641219,-157.719911777271
10,21.3034496339621,-157.719660680368
10,21.3034068664322,-157.719806419604
10,21.3032276245028,-157.720283441445
10,21.3033586553437,-157.721568955417
10,21.3032071446418,-157.721972172815
10,21.3026441210473,-157.722625302764
10,21.3025585859874,-157.722955944655
10,21.3027994041282,-157.723376410295
10,21.3030298529012,-157.723567836592
11,21.3016588196896,-157.72380782921
11,21.3021832810288,-157.723848888167
11,21.3024663129956,-157.724019615278
11,21.3028841136656,-157.724090589358
11,21.3028841136656,-157.723996335975
11,21.3031668738138,-157.723996335975
11,21.3031668738138,-157.72380782921
11,21.3030298529012,-157.723567836592
11,21.3027994041282,-157.723376410295
11,21.3025585859874,-157.722955944655
11,21.3026441210473,-157.722625302764
11,21.3032071446418,-157.721972172815
11,21.3033586553437,-157.721568955417
11,21.3032276245028,-157.720283441445
11,21.3034068664322,-157.719806419604
11,21.3034496339621,-157.719660680368
11,21.3033168844812,-157.719604923084
11,21.302787763398,-157.719469137578
11,21.3025071001344,-157.719283666837
11,21.3023639237579,-157.719517503992
11,21.3020248080371,-157.720236058755
11,21.301896249449,-157.722914219095
11,21.3017041500785,-157.7231933852
12,21.3010932993928,-157.719566426985
12,21.3007162858619,-157.719566426985
12,21.3007162858619,-157.719660680368
12,21.3007162858619,-157.719754933751
12,21.3009047926275,-157.719754933751
12,21.3008373169505,-157.720831424422
12,21.3006137039063,-157.721454627743
12,21.3002894936125,-157.721872984274
12,21.3002005442835,-157.722915072662
12,21.300100986847,-157.723192531633
12,21.3000565121825,-157.723996335975
12,21.3001892631017,-157.72394057941
12,21.3014318168258,-157.723863585775
12,21.3016588196896,-157.72380782921
12,21.3017041500785,-157.7231933852
12,21.301896249449,-157.722914219095
12,21.3020248080371,-157.720236058755
12,21.3023639237579,-157.719517503992
12,21.3025071001344,-157.719283666837
12,21.302381183506,-157.7192210767
12,21.3017530730723,-157.719189413454
12,21.3014433266802,-157.719394102762
12,21.3011317954912,-157.719510669701
14,21.3009047926275,-157.719754933751
14,21.3007162858619,-157.719754933751
14,21.3007162858619,-157.719660680368
14,21.300245018948,-157.719660680368
14,21.300245018948,-157.719754933751
14,21.2997737520342,-157.719754933751
14,21.2997737520342,-157.719849187134
14,21.299428401749,-157.719817523888
14,21.2993024851203,-157.719754933751
14,21.2992639875838,-157.719810690316
14,21.2990582225084,-157.719887683951
14,21.2988312182065,-157.720037693899
14,21.2988312182065,-157.720131947282
14,21.2988903480524,-157.720968520121
14,21.2988312182065,-157.721357241258
14,21.2990680050938,-157.721561245267
14,21.2991804803754,-157.722906917392
14,21.2991495477314,-157.723291904981
14,21.2989254715894,-157.723902082593
14,21.298968237681,-157.723953568446
14,21.2998197080369,-157.724049052921
14,21.3000565121825,-157.723996335975
14,21.300100986847,-157.723192531633
14,21.3002005442835,-157.722915072662
14,21.3002894936125,-157.721872984274
14,21.3006137039063,-157.721454627743
14,21.3008373169505,-157.720831424422
18,21.2987369648238,-157.719754933751
18,21.2987686280695,-157.719911777271
18,21.2988312182065,-157.720037693899
18,21.2990582225084,-157.719887683951
18,21.2992639875838,-157.719810690316
18,21.2993024851203,-157.719754933751
19,21.2983599512926,-157.72380782921
19,21.2984010116881,-157.723861023635
19,21.2985369007433,-157.72396591389
19,21.2989254715894,-157.723902082593
19,21.2991495477314,-157.723291904981
19,21.2991804803754,-157.722906917392
19,21.2990680050938,-157.721561245267
19,21.2988312182065,-157.721357241258
19,21.298786743542,-157.721878285452
19,21.2986871861054,-157.72206149104
19,21.2985982367766,-157.722443805749
19,21.2984489034979,-157.722577233337
20,21.2983599512926,-157.719754933751
20,21.2983599512926,-157.719849187134
20,21.2983916145384,-157.719911777271
20,21.2988312182065,-157.720131947282
20,21.2988312182065,-157.720037693899
20,21.2987686280695,-157.719911777271
20,21.2987369648238,-157.719754933751
21,21.2983916145384,-157.719911777271
21,21.2983599512926,-157.719849187134
21,21.2983599512926,-157.719754933751
21,21.29826569791,-157.719754933751
21,21.2979919983742,-157.719818354444
21,21.2976059242305,-157.719754933751
21,21.2976059242305,-157.719660680368
21,21.2975116708478,-157.719660680368
21,21.2975116708478,-157.719754933751
21,21.2975116708478,-157.719849187134
21,21.2974346786512,-157.720149207749
21,21.2973231640823,-157.720226200665
21,21.2972289106994,-157.720226200665
21,21.2972289106994,-157.720320454047
21,21.2971346573167,-157.720320454047
21,21.2971346573167,-157.72041470743
21,21.2971782776947,-157.720559592379
21,21.2972243545055,-157.721133015544
21,21.2974603475106,-157.721555992269
21,21.2973032479927,-157.723511144482
21,21.2972289106994,-157.723713575827
21,21.2975623038525,-157.723757197643
21,21.2977589737986,-157.723866926696
21,21.2983599512926,-157.72380782921
21,21.2984489034979,-157.722577233337
21,21.2985982367766,-157.722443805749
21,21.2986871861054,-157.72206149104
21,21.298786743542,-157.721878285452
21,21.2988312182065,-157.721357241258
21,21.2988903480524,-157.720968520121
21,21.2988312182065,-157.720131947282
27,21.297040403934,-157.726069910396
27,21.2970935969212,-157.726393729502
27,21.2971346573167,-157.726729684076
27,21.2976432510783,-157.726940014693
27,21.2977842255822,-157.728169759515
27,21.2976059242305,-157.730311312621
27,21.2977215405245,-157.730436093617
27,21.3005388402348,-157.730605059212
27,21.3016134893006,-157.730733656181
27,21.3021754169923,-157.730831502888
27,21.3031761142006,-157.730927391945
27,21.3045255529519,-157.731280983478
27,21.3058566892658,-157.731068933097
27,21.3061757522689,-157.730900100984
27,21.3072686922667,-157.731016416285
27,21.3077788090742,-157.73115008158
27,21.309170174013,-157.731094933325
27,21.3111719509885,-157.731393429816
27,21.3135085240739,-157.731289319556
27,21.3142434433107,-157.731114263081
27,21.3152893328415,-157.730642996123
27,21.3159400042005,-157.730733656181
27,21.3170085999142,-157.731108194583
27,21.3178278339046,-157.731140665868
27,21.3194460805394,-157.730413229323
27,21.3199928993,-157.729983222443
27,21.3200382293295,-157.72993429909
27,21.3187221792952,-157.72977861745
27,21.3177761481431,-157.729274525411
27,21.317330245192,-157.729319029917
27,21.3171257780853,-157.729565179258
27,21.31686954324,-157.729711934936
27,21.3166922342412,-157.72969386207
27,21.316373057621,-157.729726395243
27,21.3160368197232,-157.729600053089
27,21.3156510878692,-157.729514518029
27,21.3152598786593,-157.729367520375
27,21.3143315405106,-157.729505799706
27,21.3140574986851,-157.729608771412
27,21.3133890066829,-157.729788559854
27,21.3129639388263,-157.729948279939
27,21.3112012584751,-157.73016447173
27,21.3100944974473,-157.73005166135
27,21.3094896382716,-157.730113313785
27,21.3093361112238,-157.729985784943
27,21.3092933436939,-157.72993429909
27,21.3086746289717,-157.729893239953
27,21.3084982576744,-157.729786851461
27,21.3081699384646,-157.729695425745
27,21.3076317740273,-157.729475167285
27,21.3073672170812,-157.729315584548
27,21.3068322037237,-157.729166601649
27,21.3063088267813,-157.728830442312
27,21.3057649095741,-157.728750064251
27,21.305617461766,-157.728709005114
27,21.3050836047149,-157.728677341868
27,21.3048317714579,-157.728552161594
27,21.3045806745554,-157.728520498348
27,21.3035995684053,-157.727997716458
27,21.3030236974373,-157.72781539464
27,21.3027154381362,-157.727707351148
27,21.3023148353719,-157.727723229512
27,21.3015737218401,-157.727621944087
27,21.3006103773671,-157.727369520093
27,21.2989036139398,-157.727146855537
27,21.2987840857624,-157.726769319223
27,21.2978397599468,-157.726401593898
27,21.2976984661643,-157.725955309466
27,21.297413853624,-157.725804706623
27,21.2971346573167,-157.725975657014
27,21.297040403934,-157.725975657014
28,21.2963806302546,-157.725410136717
28,21.2964122935003,-157.725566980237
28,21.2965374737743,-157.725818813494
28,21.2965691370201,-157.726069910396
28,21.297040403934,-157.726069910396
28,21.297040403934,-157.725975657014
28,21.2971346573167,-157.725975657014
28,21.2967422551259,-157.725454333091
29,21.2964748836372,-157.726729684076
29,21.2970360174469,-157.726862289018
29,21.2971346573167,-157.726729684076
29,21.2970935969212,-157.726393729502
29,21.297040403934,-157.726069910396
29,21.2965691370201,-157.726069910396
29,21.2965374737743,-157.726132500533
29,21.2962741234718,-157.726265724618
29,21.2964432203916,-157.726478587173
30,21.2960036167234,-157.724467602889
30,21.2960757852223,-157.724863230946
30,21.2973737970869,-157.724982491619
30,21.2975362035352,-157.725170998385
30,21.2974578191683,-157.724628993255
30,21.2968082767903,-157.724511224706
31,21.2964748836372,-157.726729684076
31,21.2964432203916,-157.726478587173
31,21.2962741234718,-157.726265724618
